Last_Updated,Room_Type,Available_Bed_Spaces,Percent_Left
2025-02-19 09:00:00,2 Bd/8 Person,176,0.9166666666666666
2025-02-19 09:00:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-19 09:00:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-19 09:00:00,3 Bd/6 Person,0,0.0
2025-02-19 09:00:00,3 Bd/8 Person-Double,0,0.0
2025-02-19 09:00:00,3 Bd/8 Person-Triple,6,0.5
2025-02-19 09:00:00,4 Bd/10 Person-Double,712,0.7928730512249443
2025-02-19 09:00:00,4 Bd/10 Person-Triple,1226,0.9081481481481481
2025-02-19 09:00:00,Classic Triple,3651,0.970494417862839
2025-02-19 09:00:00,Deluxe Triple,2659,0.8547090967534555
2025-02-19 09:00:00,Plaza Triple/Private Bath,1961,0.9154995331465919
2025-02-19 09:00:00,Plaza Triple/Shared Bath,2825,0.9727961432506887
2025-02-19 09:00:00,Suite Triple/Shared Bath,785,0.8961187214611872
2025-02-19 10:01:00,1 Bd/3 Person,3,0.025
2025-02-19 10:01:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-19 10:01:00,2 Bd+Loft/6 Person,0,0.0
2025-02-19 10:01:00,2 Bd/3 Person-Double,0,0.0
2025-02-19 10:01:00,2 Bd/4 Person,2,0.0017730496453900709
2025-02-19 10:01:00,2 Bd/5 Person-Double,0,0.0
2025-02-19 10:01:00,2 Bd/5 Person-Triple,0,0.0
2025-02-19 10:01:00,2 Bd/6 Person,4,0.006006006006006006
2025-02-19 10:01:00,2 Bd/7 Person-Quad,27,0.25
2025-02-19 10:01:00,2 Bd/7 Person-Triple,10,0.12345679012345678
2025-02-19 10:01:00,2 Bd/8 Person,162,0.84375
2025-02-19 10:01:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-19 10:01:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-19 10:01:00,3 Bd/6 Person,0,0.0
2025-02-19 10:01:00,3 Bd/8 Person-Double,0,0.0
2025-02-19 10:01:00,3 Bd/8 Person-Triple,1,0.08333333333333333
2025-02-19 10:01:00,4 Bd/10 Person-Double,573,0.6380846325167038
2025-02-19 10:01:00,4 Bd/10 Person-Triple,1143,0.8466666666666667
2025-02-19 10:01:00,Classic Triple,3641,0.9678362573099415
2025-02-19 10:01:00,Deluxe Triple,2609,0.8386370941819351
2025-02-19 10:01:00,Plaza Triple/Private Bath,1925,0.8986928104575164
2025-02-19 10:01:00,Plaza Triple/Shared Bath,2816,0.9696969696969697
2025-02-19 10:01:00,Suite Triple/Shared Bath,757,0.8641552511415526
2025-02-19 11:01:00,1 Bd/3 Person,3,0.025
2025-02-19 11:01:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-19 11:01:00,2 Bd+Loft/6 Person,0,0.0
2025-02-19 11:01:00,2 Bd/3 Person-Double,0,0.0
2025-02-19 11:01:00,2 Bd/4 Person,2,0.0017730496453900709
2025-02-19 11:01:00,2 Bd/5 Person-Double,0,0.0
2025-02-19 11:01:00,2 Bd/5 Person-Triple,0,0.0
2025-02-19 11:01:00,2 Bd/6 Person,0,0.0
2025-02-19 11:01:00,2 Bd/7 Person-Quad,22,0.2037037037037037
2025-02-19 11:01:00,2 Bd/7 Person-Triple,6,0.07407407407407407
2025-02-19 11:01:00,2 Bd/8 Person,136,0.7083333333333334
2025-02-19 11:01:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-19 11:01:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-19 11:01:00,3 Bd/6 Person,0,0.0
2025-02-19 11:01:00,3 Bd/8 Person-Double,0,0.0
2025-02-19 11:01:00,3 Bd/8 Person-Triple,0,0.0
2025-02-19 11:01:00,4 Bd/10 Person-Double,457,0.5089086859688196
2025-02-19 11:01:00,4 Bd/10 Person-Triple,1083,0.8022222222222222
2025-02-19 11:01:00,Classic Triple,3639,0.967304625199362
2025-02-19 11:01:00,Deluxe Triple,2559,0.8225650916104147
2025-02-19 11:01:00,Plaza Triple/Private Bath,1880,0.8776844070961718
2025-02-19 11:01:00,Plaza Triple/Shared Bath,2800,0.9641873278236914
2025-02-19 11:01:00,Suite Triple/Shared Bath,737,0.841324200913242
2025-02-19 12:01:00,1 Bd/3 Person,3,0.025
2025-02-19 12:01:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-19 12:01:00,2 Bd+Loft/6 Person,0,0.0
2025-02-19 12:01:00,2 Bd/3 Person-Double,0,0.0
2025-02-19 12:01:00,2 Bd/4 Person,2,0.0017730496453900709
2025-02-19 12:01:00,2 Bd/5 Person-Double,0,0.0
2025-02-19 12:01:00,2 Bd/5 Person-Triple,0,0.0
2025-02-19 12:01:00,2 Bd/6 Person,0,0.0
2025-02-19 12:01:00,2 Bd/7 Person-Quad,6,0.05555555555555555
2025-02-19 12:01:00,2 Bd/7 Person-Triple,2,0.024691358024691357
2025-02-19 12:01:00,2 Bd/8 Person,100,0.5208333333333334
2025-02-19 12:01:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-19 12:01:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-19 12:01:00,3 Bd/6 Person,0,0.0
2025-02-19 12:01:00,3 Bd/8 Person-Double,0,0.0
2025-02-19 12:01:00,3 Bd/8 Person-Triple,0,0.0
2025-02-19 12:01:00,4 Bd/10 Person-Double,340,0.37861915367483295
2025-02-19 12:01:00,4 Bd/10 Person-Triple,1044,0.7733333333333333
2025-02-19 12:01:00,Classic Triple,3635,0.9662413609782031
2025-02-19 12:01:00,Deluxe Triple,2501,0.803921568627451
2025-02-19 12:01:00,Plaza Triple/Private Bath,1849,0.8632119514472456
2025-02-19 12:01:00,Plaza Triple/Shared Bath,2798,0.9634986225895317
2025-02-19 12:01:00,Suite Triple/Shared Bath,735,0.839041095890411
2025-02-19 13:01:00,1 Bd/3 Person,3,0.025
2025-02-19 13:01:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-19 13:01:00,2 Bd+Loft/6 Person,0,0.0
2025-02-19 13:01:00,2 Bd/3 Person-Double,0,0.0
2025-02-19 13:01:00,2 Bd/4 Person,0,0.0
2025-02-19 13:01:00,2 Bd/5 Person-Double,0,0.0
2025-02-19 13:01:00,2 Bd/5 Person-Triple,0,0.0
2025-02-19 13:01:00,2 Bd/6 Person,0,0.0
2025-02-19 13:01:00,2 Bd/7 Person-Quad,1,0.009259259259259259
2025-02-19 13:01:00,2 Bd/7 Person-Triple,0,0.0
2025-02-19 13:01:00,2 Bd/8 Person,77,0.4010416666666667
2025-02-19 13:01:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-19 13:01:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-19 13:01:00,3 Bd/6 Person,0,0.0
2025-02-19 13:01:00,3 Bd/8 Person-Double,0,0.0
2025-02-19 13:01:00,3 Bd/8 Person-Triple,0,0.0
2025-02-19 13:01:00,4 Bd/10 Person-Double,252,0.2806236080178174
2025-02-19 13:01:00,4 Bd/10 Person-Triple,1013,0.7503703703703704
2025-02-19 13:01:00,Classic Triple,3628,0.9643806485911749
2025-02-19 13:01:00,Deluxe Triple,2441,0.7846351655416265
2025-02-19 13:01:00,Plaza Triple/Private Bath,1807,0.8436041083099907
2025-02-19 13:01:00,Plaza Triple/Shared Bath,2789,0.9603994490358126
2025-02-19 13:01:00,Suite Triple/Shared Bath,694,0.7922374429223744
2025-02-19 14:01:00,1 Bd/3 Person,3,0.025
2025-02-19 14:01:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-19 14:01:00,2 Bd+Loft/6 Person,0,0.0
2025-02-19 14:01:00,2 Bd/3 Person-Double,0,0.0
2025-02-19 14:01:00,2 Bd/4 Person,0,0.0
2025-02-19 14:01:00,2 Bd/5 Person-Double,0,0.0
2025-02-19 14:01:00,2 Bd/5 Person-Triple,0,0.0
2025-02-19 14:01:00,2 Bd/6 Person,0,0.0
2025-02-19 14:01:00,2 Bd/7 Person-Quad,0,0.0
2025-02-19 14:01:00,2 Bd/7 Person-Triple,0,0.0
2025-02-19 14:01:00,2 Bd/8 Person,64,0.3333333333333333
2025-02-19 14:01:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-19 14:01:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-19 14:01:00,3 Bd/6 Person,0,0.0
2025-02-19 14:01:00,3 Bd/8 Person-Double,0,0.0
2025-02-19 14:01:00,3 Bd/8 Person-Triple,0,0.0
2025-02-19 14:01:00,4 Bd/10 Person-Double,129,0.14365256124721604
2025-02-19 14:01:00,4 Bd/10 Person-Triple,942,0.6977777777777778
2025-02-19 14:01:00,Classic Triple,3613,0.9603934077618288
2025-02-19 14:01:00,Deluxe Triple,2369,0.7614914818386371
2025-02-19 14:01:00,Plaza Triple/Private Bath,1781,0.8314659197012139
2025-02-19 14:01:00,Plaza Triple/Shared Bath,2772,0.9545454545454546
2025-02-19 14:01:00,Suite Triple/Shared Bath,691,0.7888127853881278
2025-02-19 15:01:00,1 Bd/3 Person,3,0.025
2025-02-19 15:01:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-19 15:01:00,2 Bd+Loft/6 Person,0,0.0
2025-02-19 15:01:00,2 Bd/3 Person-Double,0,0.0
2025-02-19 15:01:00,2 Bd/4 Person,0,0.0
2025-02-19 15:01:00,2 Bd/5 Person-Double,0,0.0
2025-02-19 15:01:00,2 Bd/5 Person-Triple,0,0.0
2025-02-19 15:01:00,2 Bd/6 Person,0,0.0
2025-02-19 15:01:00,2 Bd/7 Person-Quad,0,0.0
2025-02-19 15:01:00,2 Bd/7 Person-Triple,0,0.0
2025-02-19 15:01:00,2 Bd/8 Person,57,0.296875
2025-02-19 15:01:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-19 15:01:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-19 15:01:00,3 Bd/6 Person,0,0.0
2025-02-19 15:01:00,3 Bd/8 Person-Double,0,0.0
2025-02-19 15:01:00,3 Bd/8 Person-Triple,0,0.0
2025-02-19 15:01:00,4 Bd/10 Person-Double,82,0.09131403118040089
2025-02-19 15:01:00,4 Bd/10 Person-Triple,905,0.6703703703703704
2025-02-19 15:01:00,Classic Triple,3611,0.9598617756512493
2025-02-19 15:01:00,Deluxe Triple,2333,0.7499196399871424
2025-02-19 15:01:00,Plaza Triple/Private Bath,1740,0.8123249299719888
2025-02-19 15:01:00,Plaza Triple/Shared Bath,2739,0.9431818181818182
2025-02-19 15:01:00,Suite Triple/Shared Bath,680,0.776255707762557
2025-02-19 16:01:00,1 Bd/3 Person,2,0.016666666666666666
2025-02-19 16:01:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-19 16:01:00,2 Bd+Loft/6 Person,0,0.0
2025-02-19 16:01:00,2 Bd/3 Person-Double,0,0.0
2025-02-19 16:01:00,2 Bd/4 Person,0,0.0
2025-02-19 16:01:00,2 Bd/5 Person-Double,0,0.0
2025-02-19 16:01:00,2 Bd/5 Person-Triple,0,0.0
2025-02-19 16:01:00,2 Bd/6 Person,0,0.0
2025-02-19 16:01:00,2 Bd/7 Person-Quad,0,0.0
2025-02-19 16:01:00,2 Bd/7 Person-Triple,0,0.0
2025-02-19 16:01:00,2 Bd/8 Person,53,0.2760416666666667
2025-02-19 16:01:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-19 16:01:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-19 16:01:00,3 Bd/6 Person,0,0.0
2025-02-19 16:01:00,3 Bd/8 Person-Double,0,0.0
2025-02-19 16:01:00,3 Bd/8 Person-Triple,0,0.0
2025-02-19 16:01:00,4 Bd/10 Person-Double,69,0.07683741648106904
2025-02-19 16:01:00,4 Bd/10 Person-Triple,874,0.6474074074074074
2025-02-19 16:01:00,Classic Triple,3602,0.9574694311536417
2025-02-19 16:01:00,Deluxe Triple,2283,0.733847637415622
