Last_Updated,Building,Available_Bed_Spaces,Percent_Left
2025-02-19 14:01:00,Hedrick Hall,994,0.9920159680638723
2025-02-19 14:01:00,Hedrick Summit,685,0.9841954022988506
2025-02-19 14:01:00,Hitch Suites,432,0.96
2025-02-19 14:01:00,Landfair Apartments,0,0.0
2025-02-19 14:01:00,Landfair Vista Apartments,0,0.0
2025-02-19 14:01:00,Laurel,388,0.5065274151436031
2025-02-19 14:01:00,Levering Terrace Apartments,64,0.2379182156133829
2025-02-19 14:01:00,Olympic / Centennial,1364,0.8148148148148148
2025-02-19 14:01:00,Palo Verde,221,0.523696682464455
2025-02-19 14:01:00,Rieber Hall,972,0.9759036144578314
2025-02-19 14:01:00,Rieber Terrace,706,0.9051282051282051
2025-02-19 14:01:00,Rieber Vista,658,0.9454022988505747
2025-02-19 14:01:00,Saxon Suites,259,0.607981220657277
2025-02-19 14:01:00,Sproul Hall,903,0.9039039039039038
2025-02-19 14:01:00,Sproul Landing / Cove,618,0.6149253731343284
2025-02-19 14:01:00,Sunset Village,1440,0.8839779005524862
2025-02-19 14:01:00,Tipuana,462,0.49892008639308855
2025-02-19 14:01:00,Westwood Chateau Apartments,0,0.0
2025-02-19 14:01:00,Westwood Palms Apartments,0,0.0
2025-02-19 15:01:00,De Neve Plaza,1046,0.8401606425702811
2025-02-19 15:01:00,De Neve Residence Hall,387,0.8958333333333334
2025-02-19 15:01:00,Dykstra Hall,743,0.9712418300653595
2025-02-19 15:01:00,Gayley Court Apartments,0,0.0
2025-02-19 15:01:00,Gayley Heights,0,0.0
2025-02-19 15:01:00,Glenrock Apartments,0,0.0
2025-02-19 15:01:00,Glenrock West Apartments,3,0.02857142857142857
2025-02-19 15:01:00,Hedrick Hall,994,0.9920159680638723
2025-02-19 15:01:00,Hedrick Summit,683,0.9813218390804598
2025-02-19 15:01:00,Hitch Suites,431,0.9577777777777777
2025-02-19 15:01:00,Landfair Apartments,0,0.0
2025-02-19 15:01:00,Landfair Vista Apartments,0,0.0
2025-02-19 15:01:00,Laurel,365,0.4765013054830287
2025-02-19 15:01:00,Levering Terrace Apartments,57,0.21189591078066913
2025-02-19 15:01:00,Olympic / Centennial,1346,0.8040621266427718
2025-02-19 15:01:00,Palo Verde,200,0.47393364928909953
2025-02-19 15:01:00,Rieber Hall,971,0.9748995983935743
2025-02-19 15:01:00,Rieber Terrace,698,0.8948717948717949
2025-02-19 15:01:00,Rieber Vista,649,0.9324712643678161
2025-02-19 15:01:00,Saxon Suites,249,0.5845070422535211
2025-02-19 15:01:00,Sproul Hall,903,0.9039039039039038
2025-02-19 15:01:00,Sproul Landing / Cove,600,0.5970149253731343
2025-02-19 15:01:00,Sunset Village,1403,0.8612645794966237
2025-02-19 15:01:00,Tipuana,422,0.4557235421166307
2025-02-19 15:01:00,Westwood Chateau Apartments,0,0.0
2025-02-19 15:01:00,Westwood Palms Apartments,0,0.0
2025-02-19 16:01:00,De Neve Plaza,1031,0.8281124497991967
2025-02-19 16:01:00,De Neve Residence Hall,384,0.8888888888888888
2025-02-19 16:01:00,Dykstra Hall,737,0.9633986928104575
2025-02-19 16:01:00,Gayley Court Apartments,0,0.0
2025-02-19 16:01:00,Gayley Heights,1,0.000859106529209622
2025-02-19 16:01:00,Glenrock Apartments,0,0.0
2025-02-19 16:01:00,Glenrock West Apartments,2,0.01904761904761905
2025-02-19 16:01:00,Hedrick Hall,994,0.9920159680638723
2025-02-19 16:01:00,Hedrick Summit,683,0.9813218390804598
2025-02-19 16:01:00,Hitch Suites,423,0.94
2025-02-19 16:01:00,Landfair Apartments,0,0.0
2025-02-19 16:01:00,Landfair Vista Apartments,0,0.0
2025-02-19 16:01:00,Laurel,355,0.46344647519582244
